construction,N,num_blocks,num_matching,predicted_alpha,actual_alpha,alpha_gap,d_max,c,k4_free,block_ids,k_copies,source,g6
single,72,1,22,32,32,0,6,1.4883,1,602,9,,~?@G??Ff]???????????F_@v?????????????????????]??@v??????????????????????????????F_???F[????????????????????????????A??????????F_????@v?????G????@??????????????G??????G??????C?????????]??????@v????_?????@?????????????????_???????G???????@?????????????F_???????F[??G???????C???????????????????G?????????_????????@?????????????????F_????????@vO??????????O?????????????????????G???????????????A??????????@????????????????]??????????@v
single,80,1,25,35,35,0,6,1.465,1,602,10,,~?@O??Ff[???????????F_@v?????????????????????]??@v??????????????????????????????F_???F[???????????????????????????????????????F_????@v?????C??????_?????????????A??????A??????@????????]??????@v????O???????_????????????????G???????A????????O???????????F_???????F[??C????????A???????????????????A?????????G?????????O???????????????F_????????@v?C??????????_?????????????????????A??????????A??????????@????????????????????]??????????@vO???????????_????????????????????????G???????????A????????????O???????????????????????F_???????????F[
single,88,1,27,39,39,0,6,1.4841,1,602,11,,~?@W??Ff]???????????F_@v?????????????????????]??@v??????????????????????????????F_???F[???????????????????????????????????????F_????@v???????????????????????????????????A?????????????]??????@v??????A??????C????????????????A????????_???????C??????????F_???????F[?????_???????O???????????????????_????????A?????????C??????????????F_????????@v????_????????C??????????????????????_??????????_??????????O??????????????????]??????????@v??A??????????C????????????????????????A????????????_???????????C??????????????????????F_???????????F\?????????????C???????????????????????????_???????????????????G?????????????O???????????????????F_????????????@v
single,96,1,30,42,42,0,6,1.465,1,602,12,,~?@_??Ff[???????????F_@v?????????????????????]??@v??????????????????????????????F_???F[???????????????????????????????????????F_????@v?????????????????????????????????????????????????]??????@v??????@???????A?????????????????_???????G???????@?????????F_???????F[?????O????????G???????????????????G?????????_????????@?????????????F_????????@v????O?????????A??????????????????????G??????????G??????????C?????????????????]??????????@v??@???????????A?????????????????????????_???????????G???????????@?????????????????????F_???????????F[?O????????????G???????????????????????????G?????????????_????????????@?????????????????????????F_????????????@vO?????????????A??????????????????????????????G??????????????G??????????????C?????????????????????????????]??????????????@v
single,16,1,5,7,7,0,6,1.465,1,606,2,,O??Fvk_OC???@?A??Fo@z
single,24,1,7,11,11,0,6,1.5348,1,606,3,,W??Fvk??????A?_??Fo@zG?@????O????C???G????^??@z
single,32,1,10,14,14,0,6,1.465,1,606,4,,_??Fvk???????????Fo@z?A??O?@??????@???_???^??@zG???O???O????????@????G???????Fo???Fk
single,40,1,12,18,18,0,6,1.5069,1,606,5,,g??Fvk???????????Fo@z????????????G??_?????^??@z?A???C???C?????????O???A??????Fo???Fk_????O???????C????????@???????A????????Fo????@z
single,48,1,15,21,21,0,6,1.465,1,606,6,,o??Fvk???????????Fo@z?????????????????????^??@z???_??@???@?????????C????_????Fo???Fk?G????C????@????????????O?????_????????Fo????@zG?????@??????C??????????????C??????A?????????????^??????@z
single,56,1,17,25,25,0,6,1.4949,1,606,7,,w??Fvk???????????Fo@z?????????????????????^??@z?????????????????A???A????????Fo???Fk??A????@?????O???????????C?????G???????Fo????@z?A??????O?????@??????????????@???????_???????????^??????@zG???????O???????????C????????????@???????????A????????????Fo???????Fk
single,64,1,20,28,28,0,6,1.465,1,606,8,,~?@???Fvk???????????Fo@z?????????????????????^??@z??????????????????????????????Fo???Fk????_????O????C???????????@?????A??????Fo????@z???_?????C??????O??????????????O??????G??????????^??????@z?A???????C???????C?????????????????O???????A??????????????Fo???????Fk_????????O????????C???????????????????@?????????A??????????????????Fo????????@z
single,72,1,22,32,32,0,6,1.4883,1,606,9,,~?@G??Fvk???????????Fo@z?????????????????????^??@z??????????????????????????????Fo???Fk??????????????????????A?????_??????????Fo????@z????G?????@??????C??????????????C??????A?????????^??????@z???_??????@???????@?????????????????C????????_????????????Fo???????Fk?G????????C????????@????????????????????O?????????_????????????????Fo????????@zG?????????@????????????????O????????????????C???????????????G????????????????^??????????@z
single,80,1,25,35,35,0,6,1.465,1,606,10,,~?@O??Fvk???????????Fo@z?????????????????????^??@z??????????????????????????????Fo???Fk???????????????????????????????????????Fo????@z?????A??????O?????@??????????????@???????_???????^??????@z????G???????O???????O????????????????@????????G???????????Fo???????Fk??A????????@?????????O???????????????????C?????????G???????????????Fo????????@z?A??????????O?????????@??????????????????????@???????????_???????????????????^??????????@zG???????????O???????????O????????????????????????@????????????G???????????????????????Fo???????????Fk
single,88,1,27,39,39,0,6,1.4841,1,606,11,,~?@W??Fvk???????????Fo@z?????????????????????^??@z??????????????????????????????Fo???Fk???????????????????????????????????????Fo????@z????????????????????????????G??????_?????????????^??????@z?????A???????C???????C?????????????????O???????A??????????Fo???????Fk????_????????O????????C???????????????????@?????????A??????????????Fo????????@z???_?????????C??????????O??????????????????????O??????????G??????????????????^??????????@z?A???????????C???????????C?????????????????????????O???????????A??????????????????????Fo???????????Fk_????????????O???????????????????C????????????????????@???????????????????A????????????????????Fo????????????@z
single,96,1,30,42,42,0,6,1.465,1,606,12,,~?@_??Fvk???????????Fo@z?????????????????????^??@z??????????????????????????????Fo???Fk???????????????????????????????????????Fo????@z?????????????????????????????????????????????????^??????@z???????_??????@???????@?????????????????C????????_????????Fo???????Fk?????G????????C????????@????????????????????O?????????_????????????Fo????????@z????G?????????@??????????C??????????????????????C??????????A?????????????????^??????????@z???_??????????@???????????@?????????????????????????C????????????_????????????????????Fo???????????Fk?G????????????C????????????@????????????????????????????O?????????????_????????????????????????Fo????????????@zG?????????????@??????????????C??????????????????????????????C??????????????A?????????????????????????????^??????????????@z
single,14,1,4,6,6,0,5,1.3314,1,89,2,,M?BDw?GC@?G??W?V_
single,21,1,6,9,9,0,5,1.3314,1,89,3,,T?BDw@????C??W?V_??O?C???G??_??@_??n
single,28,1,8,12,12,0,5,1.3314,1,89,4,,[?BDw????????W?V_???G?A??O?@???@_??n????O??A???G???O??????B????n
single,35,1,10,15,15,0,5,1.3314,1,89,5,,b?BDw????????W?V_?A???????@????@_??n?????G??@???C???G?????B????n?????G????_??????G????G??????B?????V_
single,42,1,12,18,18,0,5,1.3314,1,89,6,,i?BDw????????W?V_??????????????@_??n??????C???_??A???C????B????n??????C????O????_????_???????B?????V_?????A?????C?????C?????A???????????@_?????Dw
single,49,1,14,21,21,0,5,1.3314,1,89,7,,p?BDw????????W?V_??????????????@_??n???A???????????G??????B????n???????A????G????O????O??????B?????V_??????@?????A?????A?????@??????????@_?????Dw???????O??????O??????????_??????G??????????W???????n
single,56,1,16,24,24,0,5,1.3314,1,89,8,,w?BDw????????W?V_??????????????@_??n??????????????????????B????n????????@????C????G????G?????B?????V_????????_????@?????@??????_????????@_?????Dw????????G??????G??????C??????@?????????????W???????n????????@????????_???????G???????@????????????????B????????A{
single,63,1,18,27,27,0,5,1.3314,1,89,9,,~??~?BDw????????W?V_??????????????@_??n??????????????????????B????n????@???????????????_????????B?????V_?????????O?????_?????_?????O???????@_?????Dw?????????C??????C??????A???????_???????????W???????n??????????_???????O???????C????????_??????????????B????????A{?????????A?????????_?????????????G?????????_?????????????K?????????Dw
single,70,1,20,30,30,0,5,1.3314,1,89,10,,~?@E?BDw????????W?V_??????????????@_??n??????????????????????B????n?????????????????????????????B?????V_??????????G?????O?????O?????G??????@_?????Dw??????????A??????A??????@???????O??????????W???????n???????????O???????G???????A????????O?????????????B????????A{??????????@?????????O????????A?????????G?????????????????K?????????Dw??????????A??????????O?????????@??????????A?????????????????????W??????????Dw
single,77,1,22,33,33,0,5,1.3314,1,89,11,,~?@L?BDw????????W?V_??????????????@_??n??????????????????????B????n?????????????????????????????B?????V_?????O?????????????????@???????????@_?????Dw???????????@??????@???????_??????G?????????W???????n????????????G???????C???????@????????G????????????B????????A{????????????_????????G????????@?????????C????????????????K?????????Dw???????????@??????????G??????????_?????????@????????????????????W??????????Dw???????????@???????????C?????????????????G???????????G?????????????????W???????????A{
single,84,1,24,36,36,0,5,1.3314,1,89,12,,~?@S?BDw????????W?V_??????????????@_??n??????????????????????B????n?????????????????????????????B?????V_???????????????????????????????????@_?????Dw?????????????_??????_??????O??????C????????W???????n?????????????C???????A????????_???????C???????????B????????A{?????????????O????????C?????????_????????A???????????????K?????????Dw?????????????_?????????C??????????O??????????_??????????????????W??????????Dw?????????????_??????????A???????????C???????????C??????????????????????W???????????A{?????????????O????????????_????????????_????????????O?????????????????????????K?????????????n
single,14,1,4,6,6,0,5,1.3314,1,95,2,,M?Be{??A?_C??[?Z_
single,21,1,6,9,9,0,5,1.3314,1,95,3,,T?Be{?????A??[?Zc????A???G??_??@o??v
single,28,1,8,12,12,0,5,1.3314,1,95,4,,[?Be{????????[?Z_?????@??G??_??@o??v??G????@???C???G??????B_???v
single,35,1,10,15,15,0,5,1.3314,1,95,5,,b?Be{????????[?Z_??????????_???@o??v??G??????_??A???C?????B_???vG?????????O??????G????G??????B_????Z_
single,42,1,12,18,18,0,5,1.3314,1,95,6,,i?Be{????????[?Z_??????????????@o??v??????????O??@???A????B_???v???C???????G????O????O???????B_????Z_?C?????????A?????A?????@???????????@o?????Ew
single,49,1,14,21,21,0,5,1.3314,1,95,7,,p?Be{????????[?Z_??????????????@o??v???????????????C??????B_???v???C????????C????G????G??????B_????Z_?C??????????@?????@??????_?????????@o?????Ex??????????????G??????????_??????G??????????[???????v
single,56,1,16,24,24,0,5,1.3314,1,95,8,,w?Be{????????[?Z_??????????????@o??v??????????????????????B_???v?????????????A????C????C?????B_????Z_???@??????????_?????_?????O????????@o?????Ew???_???????????C??????A???????_????????????[???????v??G??????????????O???????C????????_???????????????B_???????B[
single,63,1,18,27,27,0,5,1.3314,1,95,9,,~??~?Be{????????[?Z_??????????????@o??v??????????????????????B_???v????????????????????O????????B_????Z_???@???????????O?????O?????G???????@o?????Ew???_????????????A??????@???????O???????????[???????v??G???????????????G???????A????????O??????????????B_???????B[_??????????????????O?????????????G?????????_?????????????M?????????Ew
