graph_id,source,n,d_max,alpha,c_log,hoffman,hoffman_t,theta,theta_t,theta_prime,theta_prime_t,chi_f,chi_f_t,clique_cover,clique_cover_t,hardcore,hardcore_t,hoffman_over_alpha,theta_over_alpha,theta_prime_over_alpha,chi_f_over_alpha,clique_cover_over_alpha,alpha_over_hardcore
96a8b9b279e443b1,server_sat_exact,29,7,6,0.744267,,0.0002,7.838504907742919,0.0476,7.8348860777213645,0.1318,9.666670231301179,0.0037,11,0.0002,5.988871167716927,0.0316,,1.3064,1.3058,1.6111,1.8333,1.0019
23b1201006a79ba7,disjoint_lift,30,7,6,0.719458,,0.0002,7.83691701905394,0.0456,7.8369219889294115,0.1426,9.999999992925053,0.0038,14,0.0004,5.989009607728261,0.0309,,1.3062,1.3062,1.6667,2.3333,1.0018
724a4a4f740b08f1,cayley_tabu,31,12,5,0.778896,9.378817031606841,0.0002,7.239918251921528,0.1586,7.239918168746265,0.1266,10.33333333333294,0.005,11,0.0004,4.988572562136746,0.0214,1.8758,1.448,1.448,2.0667,2.2,1.0023
43adfd124f62a42c,cayley_tabu,32,4,8,0.721348,10.666666666666671,0.0002,9.372590750245374,0.0592,9.372584841464402,0.0736,10.666673698764953,0.003,12,0.0002,7.986694379787425,0.2698,1.3333,1.1716,1.1716,1.3333,1.5,1.0017
342a5944c3516cbe,cayley_tabu,33,12,5,0.73169,9.346974836944337,0.0003,7.685600273489583,0.1334,7.685599194623363,1.5122,11.00005622135846,0.0033,13,0.0003,4.990195042951444,0.0258,1.8694,1.5371,1.5371,2.2,2.6,1.002
2a7d3786d6094bbd,cayley_tabu,34,8,6,0.678915,8.246211251235327,0.0007,8.246229304476028,0.0745,8.246217057002708,0.0693,11.333360848260575,0.0032,12,0.0003,5.990024926699653,0.0495,1.3744,1.3744,1.3744,1.8889,2.0,1.0017
aa1f95491a85cac9,circulant,35,4,10,0.824397,12.589169665819231,0.0002,10.549540899681196,0.0665,10.549592276606806,0.0842,11.666673557830215,0.0034,15,0.0003,9.975088930032195,1.1512,1.2589,1.055,1.055,1.1667,1.5,1.0025
36f64e06d3c7c839,cayley_tabu_gap,36,10,6,0.723824,9.783959508686499,0.0004,8.853244161881378,0.1117,8.853254734422869,0.2197,12.000073334927844,0.0038,14,0.0004,5.987768601627949,0.0495,1.6307,1.4755,1.4755,2.0,2.3333,1.002
a3947d1973383075,cayley,37,6,9,0.81454,11.299553025848539,0.0003,11.2995577534668,0.0988,11.299553000011901,0.1477,12.33333780796546,0.0032,15,0.0003,8.962322120911367,0.389,1.2555,1.2555,1.2555,1.3704,1.6667,1.0042
beac5c7bb4db9fd5,cayley_tabu,38,6,8,0.704982,10.480859502413068,0.0004,10.480861136717584,0.0898,10.480860790461946,0.1106,12.666671073211484,0.0033,15,0.0003,7.9838067800055414,0.4928,1.3101,1.3101,1.3101,1.5833,1.875,1.002
f2185c3aca5cd3e8,cayley_tabu,39,6,9,0.772769,10.816653826391981,0.0002,10.81665765154266,0.0814,10.816642505408748,0.062,13.000004339751492,0.0022,15,0.0002,8.977593287267837,0.6129,1.2019,1.2019,1.2018,1.4444,1.6667,1.0025
36a71791a7ba7166,cayley_tabu_gap,40,7,8,0.719458,14.203301123331377,0.0002,10.612142596762475,0.1005,10.612127972823,0.1256,13.333337608000688,0.0023,15,0.0002,7.985593095707378,0.4493,1.7754,1.3265,1.3265,1.6667,1.875,1.0018
