graph_id,source,n,d,alpha,lam_min,hoffman,theta,theta_over_alpha,alpha_over_theta,theta_over_hoff,alpha_over_hoff,c_log
b4c68df907947241,sat_regular,10,1.6,4,-1.0,3.846153846153846,4.000000464116544,1.000000116029136,0.9999998839708774,1.0400001206703016,1.04,1.154156
2c3e71140dff24e8,circulant,11,4,3,-2.203616,3.9073624157265696,3.4517961885139457,1.1505987295046485,0.8691127274497481,0.8834082486490028,0.7677813524349401,0.786925
1f664f638dfb8806,sat_regular,11,3.636364,3,-2.354382,4.323034560303508,3.4678436831614534,1.155947894387151,0.8650908962727684,0.8021781077128344,0.6939569781716892,0.786925
ac872499c0c30869,sat_regular,11,3.454545,3,-2.0,4.033333669444473,3.3431310007472494,1.1143770002490831,0.8973623825478112,0.8288753856577683,0.7438015909090908,0.786925
9fc209c885e702cc,random,11,4.909091,3,-2.890488,4.076549259902362,3.414223997268917,1.1380746657563057,0.8786769709309464,0.8375279628905286,0.7359165335026158,0.847275
c2a4d49cbe124fc3,circulant_fast,11,6,3,-3.513337,4.062371279394391,3.186770920139488,1.0622569733798293,0.941391796015475,0.784460774499805,0.7384849374100619,0.913272
4c1fde100f37167e,regularity,11,2.909091,4,-2.249174,4.796363505946283,4.000004551523716,1.000001137880929,0.9999988621203657,0.8339660967240532,0.833965147771016,0.992988
336b4e63fd39e3f2,circulant_fast,11,4,4,-3.228707,4.913157636628514,4.567644337877802,1.1419110844694504,0.8757249260476488,0.9296759183595401,0.8141403748536883,1.049233
f0a8b28bb63b7781,sat_regular,11,1.818182,4,-1.0,3.903225554630609,3.9999988053771687,0.9999997013442922,1.000000298655797,1.02479314848504,1.0247934545454547,1.049233
24089de3c77778ec,circulant,12,5,3,-3.0,4.5,3.4640951434202956,1.1546983811400986,0.8660270217168261,0.7697989207600657,0.6666666666666666,0.776669
2d5c3d92c2633810,sat_regular,12,4.333333,3,-2.703318,4.610121491033164,3.5601950936454663,1.186731697881822,0.8426504506325091,0.7722562410925963,0.6507420695604438,0.776669
99ac73d11fcecb99,sat_regular,12,4.333333,3,-2.567446,4.464619429197776,3.5712713417129933,1.1904237805709978,0.8400369820572139,0.7999049859339739,0.6719497703164935,0.776669
301907db69ee766b,cayley_tabu_gap,12,5,3,-2.236068,3.7082039582823163,3.708203631818523,1.236067877272841,0.8090170599743424,0.9999999119617483,0.8090169887498948,0.776669
129ec0cf28e23170,circulant_fast,12,6,3,-2.732051,3.754514489207632,3.464100769000674,1.154700256333558,0.8660256153187604,0.9226494607913344,0.799038067005338,0.837166
25eaa849d935f0d3,circulant_fast,12,3,4,-2.0,4.8,4.000001268184792,1.000000317046198,0.9999996829539025,0.8333335975384983,0.8333333333333334,0.910239
b928c994b5c56e85,random,12,3.833333,4,-2.69002,4.94841226590068,4.504117773306939,1.1260294433267348,0.8880762451873424,0.910214737835132,0.8083400866908053,0.961797
a7b5ca49e5d92fcc,regularity,12,3.833333,4,-3.024002,5.291855217806917,4.317669489505013,1.0794173723762532,0.9264257048212758,0.8159084691085648,0.7558785785635503,0.961797
1a2f80904c127ef2,sat_regular,12,2,4,-1.0,4.0,4.000000046126942,1.0000000115317356,0.9999999884682645,1.0000000115317356,1.0,0.961797
47e3d9e52703b92e,mattheus_verstraete,12,3.833333,5,-3.047325,5.3145934589395365,5.218880657722489,1.0437761315444978,0.9580598461475437,0.9819905695597372,0.9408057339907406,1.395277
3999e82cb5d40e15,mattheus_verstraete,12,4.666667,5,-3.104364,4.793748474301543,5.000043910284125,1.000008782056825,0.9999912180202988,1.0430342637058445,1.043025103800113,1.49887
aba832811a1bd09c,mattheus_verstraete,12,4.0,5,-3.139271,5.27662446207743,5.000006330121091,1.0000012660242183,0.9999987339773846,0.9475766877206507,0.9475754880671342,1.49887
5cf33ba1860e4c4e,cayley,13,6,3,-2.302776,3.605551685364028,3.605538067381846,1.2018460224606153,0.8320533423679656,0.9999962230517352,0.8320501997455378,0.772769
c601b815eb1ede0e,circulant,13,6,3,-3.197832,4.519740738904559,3.6055572397158997,1.2018524132386332,0.8320489179742949,0.7977354118302307,0.663754886243122,0.772769
4e4be33026669813,sat_regular,13,5.076923,3,-2.472834,4.257996913013227,3.624262225443198,1.208087408481066,0.8277546748519667,0.8511660058669328,0.7045566404314302,0.772769
16aefce2272374df,sat_regular,13,5.076923,3,-2.865772,4.690477980081068,3.6760474329415094,1.2253491443138365,0.816093930975056,0.7837255496246832,0.6395936645987941,0.772769
018c3403f07d01f8,cayley,13,4,4,-2.651093,5.181736144720875,5.18175280826362,1.295438202065905,0.7719395633116626,1.0000032158223189,0.7719420457321391,0.887812
8afd55e3de655d1d,circulant_fast,13,4,4,-2.206231,4.621323795392082,4.201146968953708,1.050286742238427,0.9521209397242765,0.9090786871810774,0.8655528539221589,0.887812
